"id","control_owner","businesscode","companyname","controlcode","controlcode1","controlcode2","controlcode3","controlexplain","controlexplain1","controlexplain2","controlexplain3","controlname","controlname1","controlname2","controlname3","detailprocess","detailprocessname","exceptexplain","exceptitem","name","processcode","processexplain","processexplain1","processexplain1_after","processexplain2","processexplain2_after","processexplain3","processexplain3_after","processexplain4","processexplain4_after","processname","processname1","processname1_after","processname2","processname2_after","processname3","processname3_after","processname4","processname4_after","proofname","risk","riskcode","riskgrade","subprocess","subprocesscode","subprocessnumber","teamname","superpro","ControlOwner","superpro_id","mainprocess","dtype","productline","subprocesstype","currentgrade","person_charge","realgrade","personcharge","industry"
12,,HR,"","","","","","",인사팀장은 매월 아웃소싱업체의 급여작업내역을 다운받아 4대보험등 급여 공제관련 원천징수사항들이 적정한지 정확성을 검증한다.,"","","",아웃소싱업체 급여작업 검증,"","","","","","","","","",인사팀 급여담당자는 아웃소싱업체에 급여파일을 업로드/제공한다.,인사팀장은 급여작업내역 상 기재된 금액이 부정확/불완전할 경우 인사팀 담당자에게 사유를 질의한다.,"","","","","","","",급여파일 제공,부정확/불완전한 급여작업내역,"","","","","","",(아웃소싱업체의) 급여작업내역,"","","",급여관리,"3","",인사팀,12,인사팀장,13,인사,BASIC,,,,,,,
13,,HR,"","","","","","",전결권자(대표이사/인사팀장)는 급여대장과 대사하여 급여지급기안서의 완전성과 회계처리의 정확성을 검증하고 승인한다.,"","","",급여지급기안서 검증,"","","","","","","","","",인사팀 급여담당자는 급여대장의 내역에 따라 시스템을 통하여 임시전표를 생성하고 급여지급기안서를 작성한다.,인사팀장/대표이사는 급여지급기안서 상 기재된 금액이 부정확/불완전할 경우 인사팀 담당자에게 사유를 질의한다.,"","","","","","","",급여지급기안서 작성,부정확/불완전한 급여지급기안서,"","","","","","",급여지급기안서,"","","",급여관리,"3","",인사팀,13,"인사팀장, 대표이사",,인사,BASIC,,,,,,,
14,,HR,"","","","","","",인사팀장은 매월/분기/년 계산된 연차수당의 정확성을 검증한다.,"","","",연차수당 계산 검증,"","","","","","","","","",매월/분기/년 말 인사팀 급여담당자는 회사의 인사시스템에서 연차정보를 다운로드하여 엑셀을 이용해 개인별 연차수당을 계산한다.,인사팀장은 연차수당 계산파일 상 기재된 금액이 부정확/불완전할 경우 인사팀 담당자에게 사유를 질의한다.,"","","","","","","",연차수당 계산,부정확/불완전한 연차수당 계산파일,"","","","","","",연차수당 계산파일,"","","",급여관리,"3","",인사팀,14,인사팀장,,인사,BASIC,,,,,,,
15,,HR,"","","","","","",전결권자(대표이사 등)는 전결규정에 따라 해당 성과급 지급기안서가 기획팀에서 작성된 연간실적집계내역을 바탕으로 성과급 규정에 따라 작성되었는지 검증하고 승인한다.,"","","",성과급 지급기안서 승인,"","","","","","","","","","기획팀은 연말 사업성과 분석 시 각 부서별로 영업이익 분석 자료를 검토하고, 검토한 내역을 인사팀에 전달한다.",대표이사는 성과급 지급기안서가 회사의 성과급 책정 규정에 부합하지 않을 경우 기획팀과 인사팀장에게 사유를 질의한다.,"인사팀장은 기획팀으로부터 받은 각 사업부별 영업이익 실적집계내역을 바탕으로, 회사의 성과급 규정에 따라 직원들의 성과급을 계산하여 성과급 지급기안서를 작성한다.","","","","","","",부서별 성과분석,규정에 부합하지 않는 성과급 지급기안서,성과급 책정,"","","","","",성과급 지급기안서,"","","",급여관리,"3","",대표이사,15,대표이사,,인사,BASIC,,,,,,,
16,,HR,"","","","","","",전결권자(대표이사 등)는 전결규정에 따라 퇴직발령품의서를 검토 및 승인한다.,"","","",퇴직발령 승인,"","","","","","","","","",해당 인원은 퇴직사유 발생 시 그룹웨어/MS Office 등을 이용하여 사직서를 작성하여 인사팀에 제출한다.,인사팀장/대표이사는 퇴직발령품의서 상 필요한 서류/내용 등이 누락되었을 경우 인사팀 담당자/퇴사자에게 질의한다.,인사팀장은 퇴직예정자의 퇴직관련서류를 검토한 후 그룹웨어/MS Office 등을 이용하여 퇴직발령 품의서를 작성한다.,"","","","","","",사직서 작성,증빙서류등이 누락된 퇴직발령품의서,퇴직발령품의서 작성,"","","","","",퇴직발령품의서,"","","",퇴직관리,"4","",인사팀,16,"인사팀장, 대표이사",17,인사,BASIC,,,,,,,
17,,HR,"","","","","","",인사팀장은 인사팀 퇴직금담당자가 계산한 내역이 정확하고 완전한지 검증한다.,"","","",퇴직금 검증,"","","","","","","","","","인사팀 퇴직금담당자는 퇴사자 발생 시 HR시스템 혹은 MS Office를 이용하여 퇴직금을 계산한 후, 해당 파일을 아웃소싱업체에 전달한다.",인사팀장은 퇴직금 계산내역이 부정확/불완전할 경우 인사팀 퇴직금담당자에게 사유를 질의한다.,"아웃소싱 업체는 퇴직금계산, 퇴직소득세/퇴직지방소득세, 4대보험 등 원청징수액을 산정하여 해당 계산파일을 인사팀 퇴직금 담당자에게 전달한며, 인사팀 퇴직금담당자는 인사시스템에 입력된 인사정보를 기초로하여 평균임금을 산정하고 퇴직금지급율을 곱하여 MS Office로 퇴직금을 계산한다.","","","","","","",퇴직금 계산,부정확/불완전한 퇴직금 계산내역,원천징수액 계산,"","","","","",퇴직금 계산내역,"","","",퇴직관리,"4","",인사팀,17,인사팀장,19,인사,BASIC,,,,,,,
18,,HR,"","","","","","",인사팀 퇴직금담당자는 아웃소싱업체에서 계산되는 퇴직금 원천징수내역의 정확성 및 완전성을 퇴직급여충당금액내역과 비교대사하여 검증한다. ,"","","",퇴직금 원천징수액 검증,"","","","","","","","","",인사팀 퇴직금담당자는 매월 회사의 전 직원에 대해 개인별로 MS Office를 통하여 퇴직급여 충당금액을 작성/관리한다.,인사팀 퇴직금담당자는 퇴직금 원천징수내역과 퇴직급여충당금액이 다를 시 아웃소싱업체에 사유를 질의한다.,"","","","","","","",퇴직급여충당금액내역 작성,부정확한 퇴직금 원천징수내역,"","","","","","",퇴직금 원천징수액 검증파일,"","","",퇴직관리,"4","",인사팀,18,인사팀장,19,인사,BASIC,,,,,,,
19,,HR,"","","","","","",인사팀장을 작성된 지출결의서 및 첨부된 증빙서류들을 대사 및 승인한다.,"","","",지출결의서 검토 및 승인,"","","","","","","","","","인사팀 퇴직금담당자는 퇴직금 지급명세서, 퇴직급여 계산내역, 근로소득원천징수부 등을 첨부하여 그룹웨어/MS Office를 통하여 지출결의서를 작성한다.",인사팀장은 지출결의서의 내용과 증빙서류 간 차이가 있을 경우 인사팀 퇴직금담당자에게 사유를 질의한다.,"","","","","","","",지출결의서 작성,부정확한 지출결의서,"","","","","","",지출결의서,"","","",퇴직관리,"4","",인사팀,19,인사팀장,,인사,BASIC,,,,,,,
20,,HR,"","","","","","","인사팀 퇴직연금담당자 및 인사팀장은 계리평가보고서상의 정보가 확정급여부채 산출에 적용된 기초정보와 일치하는지 대사하고, 게리평가보고서상의 재무정보(확정급여부채 및 사외적립자산)가 재무제표에 반영된 정보와 일치하는지 대사하여 검증한다.","","","",계리평가 기초정보 검증,"","","","","","","","","",인사팀 퇴직연금담당자는 매년 말 즈음 인사급여 Data에 기초하여 평균임금을 산정한 후 퇴직금지급율(일수)를 곱하여 퇴직금 추계액을 계산하여 해당 Data를 계리평가기관에 전달한다.,인사팀장은 계리평가보고서 상 기초정보와 재무제표 상 기초정보 간 차이가 있을 경우 인사팀 퇴직연금담당자 및 담당계리사에게 사유를 질의한다.,퇴직연금 담당기관 계리사는 회사로부터 받은 퇴직금 추계액 자료를 검토/ 확인 후 계리평가보고서를 회사 퇴직연금 담당자에게 전달한다.,"","","","","","",추정 퇴직금 계산,기초정보가 불일치하는 계리평가보고서,계리평가보고서 작성 및 전달,"","","","","",계리평가보고서 검증 checklist(MRC),"","","",퇴직관리,"4","",인사팀,20,인사팀장,21,인사,BASIC,,,,,,,
21,,HR,"","","","","","",인사팀장은 퇴직연금담당자가 작성한 사외적립자산 불입 기안서를 검토 및 승인한다.,"","","",사외적립자산 불입 기안서 승인,"","","","","","","","","","DB형 제도 운영 시, 인사팀 퇴직연금담당자는 연말에 대표이사와 상의한 내용을 바탕으로 사외적립자산 불입 기안서를 작성한다.",인사팀장은 사외적립자산 불입 기안서 상 내용이 부정확 할 경우 퇴직연금담당자에게 사유를 질의한다.,"","","","","","","",사외적립자산 불입 기안서 작성,부정확한 사외적립자산 불입 기안서,"","","","","","",사외적립자산 불입 기안서,"","","",퇴직관리,"4","",인사팀,21,인사팀장,,인사,BASIC,,,,,,,
22,,HR,"","","","","","","인사팀장은 복리후생 관련하여 신청내용이 회사의 복리후생 규정에 부합하는지 검증 후 승인하며, 전결권자(대표이사 등)의 승인이 필요한 경우 인사팀장이 그룹웨어/MS Office로 품의서를 작성하여 대표이사가 해당 내용이 규정에 부합하는지 검증 후 승인한다.","","","",복리후생 관련 품의서 승인,"","","","","","","","","","임직원자금대출 (의료비, 학자금, 주택자금 등등) 혹은 기타 복리후생항목 관련 전결권자의 승인이 필요한 항목의 경우, 현업에서 신청자가 필요서류를 첨부하여 그룹웨어/MS Office 등을 통해 품의서를 작성한다.",인사팀장/대표이사는 복리후생 신청서/품의서 상 신청내용이 규정에 부합하지 않을 경우 신청자/인사팀장에 사유를 질의한다.,"","","","","","","",복리후생항목 품의서 작성,규정에 부합하지 않는 복리후생 신청서/품의서,"","","","","","",복리후생 관련 품의서,"","","",복리후생관리,"5","",인사팀,22,"인사팀장, 대표이사",,인사,BASIC,,,,,,,
733,,HR,"","","","","","","해당 현업 부서장은 조기출근, 연장, 휴일근무 및 병가 등 근태변동사항에 대한 적정성을 검증하고 승인한다.","","","",근태변동사항 검증,"","","","","","","","","","해당 인원은 급여에 영향을 주는 근태변동사항 (조기출근, 연장, 휴일근무 및 병가 등)이 발생하면 관련된 그룹웨어 혹은 MS Office를 통하여 품의서를 작성한다.",해당 현업 부서장은 근태변동사항 품의서/신청서 상 기재된 근태변동사유 및 시간이 적정하지 않을 경우 해당 인원에게 사유를 질의한다.,"","","","","","","",근태사항 승인 신청,부적정한 근태변동사유,"","","","","","",근태변동사항 품의서/신청서,"","","",근태관리,"2","",각 현업팀,,,,인사,UNITE,,인사,,,,장세호,
734,,HR,"","","","","","",인사팀장은 매월 작성된 인사정보변동내역을 수령하여 인원현황의 완전성 및 정확성을 검증한다.,"","","",인원현황 검증,"","","","","","","","","",인사팀 급여담당자는 매월 급여의 정확한 계산을 위해 MS office로 전월 인원현황과 신규입사자 및 퇴직자 목록을 바탕으로 인사정보변동내역을 작성한다.,인사팀장은 인사정보변동내역 상 기재된 인원이 부정확/불완전할 경우 인사팀 담당자에게 사유를 질의한다.,"","","","","","","",인사정보 변동내역 작성,부정확/불완전한 인사정보변동내역,"","","","","","",인사정보변동내역,"","","",급여관리,"3","",인사팀,,,,인사,UNITE,,인사,,,,장세호,
735,,HR,"","","","","","",인사팀장은 매월 작성된 급여지급내역의 완전성 및 정확성을 검증한다.,"","","",급여지급내역 검증,"","","","","","","","","",인사팀 급여담당자는 매월 급여관련 가감 사항을 각 현업팀/인사시스템을 통하여 모두 취합하여 총급여금액을 산출한다.,인사팀장은 급여지급내역 상 기재된 금액이 부정확/불완전할 경우 인사팀 담당자에게 사유를 질의한다.,인사팀 담당자는 매월 작성된 총급여내역에 인사변동사항을 반영하여 급여지급내역을 작성한다.,"","","","","","",급여관련 가감 사항 취합 및 총급여금액 산출,부정확/불완전한 급여지급내역,급여지급내역 작성,"","","","","",급여지급내역,"","","",급여관리,"3","",인사팀,,,,인사,UNITE,,인사,,,,장세호,
736,,HR,"","","","","","",인사팀장은 매월 아웃소싱업체의 급여작업내역을 다운받아 4대보험등 급여 공제관련 원천징수사항들이 적정한지 정확성을 검증한다.,"","","",아웃소싱업체 급여작업 검증,"","","","","","","","","",인사팀 급여담당자는 아웃소싱업체에 급여파일을 업로드/제공한다.,인사팀장은 급여작업내역 상 기재된 금액이 부정확/불완전할 경우 인사팀 담당자에게 사유를 질의한다.,"","","","","","","",급여파일 제공,부정확/불완전한 급여작업내역,"","","","","","",(아웃소싱업체의) 급여작업내역,"","","",급여관리,"3","",인사팀,,,,인사,UNITE,,인사,,,,장세호,
737,,HR,"","","","","","",전결권자(대표이사/인사팀장)는 급여대장과 대사하여 급여지급기안서의 완전성과 회계처리의 정확성을 검증하고 승인한다.,"","","",급여지급기안서 검증,"","","","","","","","","",인사팀 급여담당자는 급여대장의 내역에 따라 시스템을 통하여 임시전표를 생성하고 급여지급기안서를 작성한다.,인사팀장/대표이사는 급여지급기안서 상 기재된 금액이 부정확/불완전할 경우 인사팀 담당자에게 사유를 질의한다.,"","","","","","","",급여지급기안서 작성,부정확/불완전한 급여지급기안서,"","","","","","",급여지급기안서,"","","",급여관리,"3","",인사팀,,,,인사,UNITE,,인사,,,,장세호,
738,,HR,"","","","","","",인사팀장은 매월/분기/년 계산된 연차수당의 정확성을 검증한다.,"","","",연차수당 계산 검증,"","","","","","","","","",매월/분기/년 말 인사팀 급여담당자는 회사의 인사시스템에서 연차정보를 다운로드하여 엑셀을 이용해 개인별 연차수당을 계산한다.,인사팀장은 연차수당 계산파일 상 기재된 금액이 부정확/불완전할 경우 인사팀 담당자에게 사유를 질의한다.,"","","","","","","",연차수당 계산,부정확/불완전한 연차수당 계산파일,"","","","","","",연차수당 계산파일,"","","",급여관리,"3","",인사팀,,,,인사,UNITE,,인사,,,,장세호,
739,,HR,"","","","","","",전결권자(대표이사 등)는 전결규정에 따라 해당 성과급 지급기안서가 기획팀에서 작성된 연간실적집계내역을 바탕으로 성과급 규정에 따라 작성되었는지 검증하고 승인한다.,"","","",성과급 지급기안서 승인,"","","","","","","","","","기획팀은 연말 사업성과 분석 시 각 부서별로 영업이익 분석 자료를 검토하고, 검토한 내역을 인사팀에 전달한다.",대표이사는 성과급 지급기안서가 회사의 성과급 책정 규정에 부합하지 않을 경우 기획팀과 인사팀장에게 사유를 질의한다.,"인사팀장은 기획팀으로부터 받은 각 사업부별 영업이익 실적집계내역을 바탕으로, 회사의 성과급 규정에 따라 직원들의 성과급을 계산하여 성과급 지급기안서를 작성한다.","","","","","","",부서별 성과분석,규정에 부합하지 않는 성과급 지급기안서,성과급 책정,"","","","","",성과급 지급기안서,"","","",급여관리,"3","",대표이사,,,,인사,UNITE,,인사,,,,장세호,
740,,HR,"","","","","","","인사팀장은 복리후생 관련하여 신청내용이 회사의 복리후생 규정에 부합하는지 검증 후 승인하며, 전결권자(대표이사 등)의 승인이 필요한 경우 인사팀장이 그룹웨어/MS Office로 품의서를 작성하여 대표이사가 해당 내용이 규정에 부합하는지 검증 후 승인한다.","","","",복리후생 관련 품의서 승인,"","","","","","","","","","임직원자금대출 (의료비, 학자금, 주택자금 등등) 혹은 기타 복리후생항목 관련 전결권자의 승인이 필요한 항목의 경우, 현업에서 신청자가 필요서류를 첨부하여 그룹웨어/MS Office 등을 통해 품의서를 작성한다.",인사팀장/대표이사는 복리후생 신청서/품의서 상 신청내용이 규정에 부합하지 않을 경우 신청자/인사팀장에 사유를 질의한다.,"","","","","","","",복리후생항목 품의서 작성,규정에 부합하지 않는 복리후생 신청서/품의서,"","","","","","",복리후생 관련 품의서,"","","",복리후생관리,"5","",인사팀,,,,인사,UNITE,,인사,,,,장세호,
741,,HR,"","","","","","",^{담당자}^은 ^{인원운용계획}^에 따른 신규충원인원의 수를 바탕으로 신규 인원의 수요를 검토하여 금번 신규 모집 인원이 적정하게 산정되었는가를 검증한다.,"","","",채용계획의 검증,"","","","","","","","","",^{채용종류}^의 경우 ^{담당자2}^은 매년 말 필요인원을 집계한 뒤 그룹웨어를 통하여 ^{인사계획서}^를 작성하여 ^{팀}^에 전달한다. ,@{담당자}@은 @{인원운용계획}@에 따른 신규충원인원의 수를 바탕으로 계산한 신규 인원의 수요가 적정하게 산정되지 않았을 경우 @{담당자2}@에게 사유를 질의한다.,"","","","","","","",인사계획서 작성,부적절한 신규 인원 수요 산정 ,"","","","","","",인사계획서,"","","",채용 및 인사관리,"1","",@{팀}@,,,,인사,UNITE,,인사,,,,장세호,
742,,HR,"","","","","","",인사팀 인사담당자는 지원자가 이력서에 기재한 사항들에 대해 자격증사본 / 경력증명서 / 국민연금가입증명원 등의 증빙과 대사하여 하여 허위여부를 검증한다.,"","","",입사서류 검증,"","","","","","","","","",인사팀 인사담당자는 채용공고를 내거나 헤드헌터를 통해 지원자를 모집한다.,"인사팀 인사담당자는 지원자가 이력서에 기재한 사항들에 대해 증빙과 다르거나 진위여부가 확인되지 않을 경우, 지원자에게 사유를 질의한다.",현업 부서장들 및 인사팀 담당자는 채용공고 및 헤드헌터를 통하여 집계된 이력서들을 심사 및 면접대상자를 선정 후 면접을 진행하여 최종 합격자를 선발한다.,"","","","","","",지원자 모집,확인불가한 이력서 내용,최종 합격자 선발,"","","","","",신규입사자 입사제출서류,"","","",채용 및 인사관리,"1","",인사팀,,,,인사,UNITE,,인사,,,,장세호,
743,,HR,"","","","","","",해당 현업 부서장 및 대표이사는 신규입사자에 대하여 작성된 채용품의서가 인사규정에 부합하는지를 검증 및 승인한다.,"","","",채용품의서 승인,"","","","","","","","","",인사팀 인사담당자는 최종 합격자와 근로조건을 합의하여 그룹웨어 혹은 문서작성 프로그램 등으로 채용품의서를 작성한다.,해당 현업 부서장 및 대표이사는 신규입사자에 대하여 작성된 채용품의서가 인사규정에 부합하지 않을 경우 인사팀장에게 사유를 질의한다.,"","","","","","","",채용품의서 작성,인사규정에 부합하지 않는 채용품의서,"","","","","","",채용품의서,"","","",채용 및 인사관리,"1","",인사팀,,,,인사,UNITE,,인사,,,,장세호,
744,,HR,"","","","","","","인사관리 DB에 대한 입력/변경/조회 권한은 인사팀 내에 한정된 인원만에게만 부여되어 있으며, 인사정보의 변경시에는 인사담당자가 변경된 인사정보가 시스템에 정확히 반영되었는지 검토한다.","","","",인사정보변경 접근제한,"","","","","","","","","","인사팀 인사담당자는 입사 당일 신규입사자에 대해 근로계약서를 작성하고 인사기록카드를 작성하며, 작성된 인사기록카드를 바탕으로 하여 회사의 인사정보시스템 DB에 신규입사자의 인사 정보를 입력한다.","인사관리 DB에 대한 입력/변경/조회 권한이 적정하지 않은 인원(인사담당자가 아니거나 인사팀 이외의 인원 등)에게 부여되어 있을 경우, 인사팀장은 인사관리 DB 권한 담당자에게 사유를 질의한다.","","","","","","","",인사정보 입력,부적정한 인사정보변경권한 부여,"","","","","","",인사정보DB 접근권한 list,"","","",채용 및 인사관리,"1","",인사팀,,,,인사,UNITE,,인사,,,,장세호,
